Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,3000,15,6,47,60,73,0,151,0.000%,303.33670,589.09,0.00
/P1-base/procesapago,3000,24,16,59,70,83,3,215,0.000%,281.98139,204.49,0.00
TOTAL,6000,20,11,53,65,80,0,215,0.000%,467.79978,623.86,0.00
