Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,2000,9,3,29,49,73,1,101,0.000%,182.28217,353.96,0.00
/P1-base/procesapago,2000,16,9,42,57,81,3,94,0.000%,176.53809,119.99,0.00
TOTAL,4000,12,6,36,53,77,1,101,0.000%,295.83611,387.77,0.00
