Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,1250,4,3,10,15,26,0,36,0.000%,114.79475,222.88,0.00
/P1-base/procesapago,1250,9,6,20,29,46,3,71,0.000%,110.35579,75.01,0.00
TOTAL,2500,7,5,15,23,40,0,71,0.000%,183.81001,240.90,0.00
