Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,2250,10,5,31,43,61,1,86,0.000%,228.17159,443.09,0.00
/P1-base/procesapago,2250,1149,14,6112,7196,7323,3,9828,0.000%,118.08544,80.26,0.00
TOTAL,4500,580,9,67,6112,7286,1,9828,0.000%,211.45623,277.18,0.00
